Country,Region,Subregion,Dimension,Category,Sex,Year
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Kyrgyzstan,Asia,Central Asia,by relationship to perpetrator,Intimate partner or family member,Female,2020
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Morocco,Africa,Northern Africa,by relationship to perpetrator,Intimate partner or family member,Female,2020
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2020
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2020
Oman,Asia,Western Asia,by relationship to perpetrator,Intimate partner or family member,Female,2020
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Sweden,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2021
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Belize,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2021
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
United Kingdom (England and Wales),Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2021
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Sweden,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Holy See,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2021
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2022
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Belize,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2022
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Ireland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
Morocco,Africa,Northern Africa,by relationship to perpetrator,Intimate partner or family member,Female,2022
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2022
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2022
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2022
