Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Holy See,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Guinea-Bissau,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2014,Prison (Security)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
United Kingdom (England and Wales),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Guinea-Bissau,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2015,Prison (Security)
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
United Kingdom (England and Wales),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Guinea-Bissau,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Kosovo under UNSCR 1244,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2016,Prison (Security)
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2017,Prison (Security)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2017,Prison (Security)
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for surveillance,2017,Prison (Security)
